season,location,matchday_nr,home_team_id,home_team_name,home_team,away_team_id,away_team_name,away_team,goals_home,goals_away,draw,win_home,win_away,goals_total
2013,Berlin,1,54,Hertha BSC,Hertha,91,Eintracht Frankfurt,Frankfurt,6,1,0,1,0,7
2013,Braunschweig,1,74,Eintracht Braunschweig,Braunschweig,134,Werder Bremen,Bremen,0,1,0,0,1,1
2013,Mainz,1,81,1. FSV Mainz 05,Mainz,16,VfB Stuttgart,Stuttgart,3,2,0,1,0,5
2013,Gelsenkirchen,1,9,FC Schalke 04,Schalke,100,Hamburger SV,HSV,3,3,1,0,0,6
2013,Stuttgart,2,16,VfB Stuttgart,Stuttgart,6,Bayer Leverkusen,Leverkusen,0,1,0,0,1,1
2013,Wolfsburg,2,131,VfL Wolfsburg,Wolfsburg,9,FC Schalke 04,Schalke,4,0,0,1,0,4
2013,Bremen,2,134,Werder Bremen,Bremen,95,FC Augsburg,Augsburg,1,0,0,1,0,1
2013,Freiburg,2,112,SC Freiburg,Freiburg,81,1. FSV Mainz 05,Mainz,1,2,0,0,1,3
2013,Hamburg,2,100,Hamburger SV,HSV,123,TSG 1899 Hoffenheim,,1,5,0,0,1,6
2013,Frankfurt,2,91,Eintracht Frankfurt,Frankfurt,40,FC Bayern München,Bayern,0,1,0,0,1,1
2013,Gladbach,2,87,Borussia Mönchengladbach,Gladbach,55,Hannover 96,Hannover,3,0,0,1,0,3
2013,Nürnberg,2,79,1. FC Nürnberg,Nürnberg,54,Hertha BSC,Hertha,2,2,1,0,0,4
2013,Dortmund,2,7,Borussia Dortmund,BVB,74,Eintracht Braunschweig,Braunschweig,2,1,0,1,0,3
2013,Dortmund,3,7,Borussia Dortmund,BVB,134,Werder Bremen,Bremen,1,0,0,1,0,1
2013,München,3,40,FC Bayern München,Bayern,79,1. FC Nürnberg,Nürnberg,2,0,0,1,0,2
2013,Leverkusen,3,6,Bayer Leverkusen,Leverkusen,87,Borussia Mönchengladbach,Gladbach,4,2,0,1,0,6
2013,Hannover,3,55,Hannover 96,Hannover,9,FC Schalke 04,Schalke,2,1,0,1,0,3
2013,Sinsheim,3,123,TSG 1899 Hoffenheim,Hoffenheim,112,SC Freiburg,Freiburg,3,3,1,0,0,6
2013,Mainz,3,81,1. FSV Mainz 05,Mainz,131,VfL Wolfsburg,Wolfsburg,2,0,0,1,0,2
2013,Berlin,3,54,Hertha BSC,Hertha,100,Hamburger SV,HSV,1,0,0,1,0,1
2013,Braunschweig,3,74,Eintracht Braunschweig,Braunschweig,91,Eintracht Frankfurt,Frankfurt,0,2,0,0,1,2
2013,Augsburg,3,95,FC Augsburg,Augsburg,16,VfB Stuttgart,Stuttgart,2,1,0,1,0,3
2013,Freiburg,4,112,SC Freiburg,Freiburg,40,FC Bayern München,Bayern,1,1,1,0,0,2
